 1 1.49144 1.49144 0
 2 1.52797 1.50971 0.0129161
 3 1.53573 1.51838 0.0111499
 4 1.51759 1.51818 0.00836419
 5 1.47481 1.50951 0.0102455
 6 1.50635 1.50898 0.00855144
 7 1.36983 1.48911 0.0198101
 8 1.49482 1.48982 0.0173467
 9 1.41743 1.48178 0.017183
 10 1.50033 1.48363 0.0155646
 11 1.6309 1.49702 0.0190565
 12 1.6451 1.50936 0.0210886
 13 1.38083 1.49947 0.0216602
 14 1.64661 1.50998 0.0225189
 15 1.48804 1.50852 0.0210651
 16 1.57777 1.51285 0.0201883
 17 1.65632 1.52129 0.0206897
 18 1.59614 1.52545 0.0199538
 19 1.58473 1.52857 0.019146
 20 1.4953 1.5269 0.0182608
 21 1.48959 1.52513 0.0174775
 22 1.71981 1.53398 0.0187903
 23 1.79565 1.54535 0.0211388
 24 1.58525 1.54701 0.0203233
 25 1.2771 1.53622 0.0221936
 26 1.44598 1.53275 0.0216097
 27 1.50311 1.53165 0.0208372
 28 1.58014 1.53338 0.0201649
 29 1.56742 1.53456 0.0195037
 30 1.43214 1.53114 0.01915
 31 1.65449 1.53512 0.0189411
 32 1.37707 1.53018 0.0189822
 33 1.2328 1.52117 0.0204343
 34 1.67313 1.52564 0.0203162
 35 1.54416 1.52617 0.0197427
 36 1.29942 1.51987 0.020174
 37 1.24263 1.51238 0.0209741
 38 1.54307 1.51318 0.0204377
 39 1.5973 1.51534 0.0200272
 40 1.54107 1.51599 0.0195368
 41 1.41131 1.51343 0.0192264
 42 1.3618 1.50982 0.0191046
 43 1.57162 1.51126 0.0187143
 44 1.5546 1.51224 0.0183149
 45 1.53426 1.51273 0.0179144
 46 1.7741 1.51842 0.018404
 47 1.47458 1.51748 0.018036
 48 1.45749 1.51623 0.0177035
 49 1.57154 1.51736 0.0173782
 50 1.47357 1.51649 0.0170527
 51 1.53926 1.51693 0.0167242
 52 1.41422 1.51496 0.0165188
 53 1.51232 1.51491 0.0162072
 54 1.45981 1.51389 0.0159391
 55 1.50663 1.51375 0.0156499
 56 1.34405 1.51072 0.0156611
 57 1.56367 1.51165 0.0154138
 58 1.49191 1.51131 0.0151518
 59 1.45344 1.51033 0.0149267
 60 1.37084 1.50801 0.0148579
